step,episode,reward,avg_reward_100,epsilon,elapsed_s
165494,176,-20.00,-20.13,0.7021,559.0
166584,177,-20.00,-20.12,0.7001,563.2
167480,178,-20.00,-20.11,0.6985,566.5
168845,179,-16.00,-20.06,0.6961,571.5
170056,180,-18.00,-20.05,0.6939,576.0
171283,181,-19.00,-20.03,0.6917,580.5
172516,182,-19.00,-20.01,0.6895,585.0
173673,183,-20.00,-20.01,0.6874,589.4
174806,184,-18.00,-19.98,0.6853,593.6
175928,185,-20.00,-19.97,0.6833,597.7
177016,186,-21.00,-19.98,0.6814,601.7
178165,187,-20.00,-19.99,0.6793,605.9
179186,188,-21.00,-19.99,0.6775,609.7
180289,189,-19.00,-19.98,0.6755,613.7
181441,190,-19.00,-19.96,0.6734,618.1
182520,191,-19.00,-19.94,0.6715,622.1
183799,192,-19.00,-19.92,0.6692,626.8
184921,193,-20.00,-19.93,0.6671,630.9
186010,194,-21.00,-19.93,0.6652,634.9
186946,195,-21.00,-19.93,0.6635,638.4
188232,196,-19.00,-19.91,0.6612,643.1
189370,197,-21.00,-19.92,0.6591,647.4
190328,198,-21.00,-19.92,0.6574,650.9
191513,199,-20.00,-19.92,0.6553,655.4
192868,200,-19.00,-19.91,0.6528,660.5
194444,201,-17.00,-19.87,0.6500,666.4
195904,202,-17.00,-19.84,0.6474,671.8
197474,203,-15.00,-19.79,0.6445,677.6
198724,204,-18.00,-19.76,0.6423,682.2
200048,205,-19.00,-19.74,0.6399,687.1
201232,206,-20.00,-19.73,0.6378,691.4
202097,207,-21.00,-19.75,0.6362,694.6
203210,208,-20.00,-19.75,0.6342,698.6
204734,209,-16.00,-19.70,0.6315,704.2
206155,210,-19.00,-19.69,0.6289,709.7
207631,211,-15.00,-19.65,0.6263,715.4
209028,212,-18.00,-19.64,0.6237,720.6
210539,213,-17.00,-19.60,0.6210,726.1
211818,214,-19.00,-19.60,0.6187,730.9
213100,215,-18.00,-19.57,0.6164,735.7
214436,216,-19.00,-19.56,0.6140,740.6
215971,217,-17.00,-19.52,0.6113,746.4
217173,218,-21.00,-19.53,0.6091,750.9
218347,219,-19.00,-19.52,0.6070,755.2
219202,220,-21.00,-19.52,0.6054,758.5
220615,221,-18.00,-19.51,0.6029,763.8
221669,222,-20.00,-19.51,0.6010,768.2
223208,223,-20.00,-19.51,0.5982,774.2
224371,224,-20.00,-19.50,0.5961,778.8
225657,225,-17.00,-19.46,0.5938,783.5
226700,226,-21.00,-19.46,0.5919,787.4
228135,227,-19.00,-19.45,0.5894,792.6
229675,228,-18.00,-19.42,0.5866,798.4
230551,229,-21.00,-19.42,0.5850,801.6
231729,230,-19.00,-19.43,0.5829,806.0
233449,231,-16.00,-19.39,0.5798,812.3
234796,232,-20.00,-19.39,0.5774,817.3
236064,233,-19.00,-19.37,0.5751,821.9
237508,234,-16.00,-19.33,0.5725,827.5
238778,235,-19.00,-19.32,0.5702,832.2
240022,236,-19.00,-19.30,0.5680,836.8
241607,237,-17.00,-19.27,0.5651,842.8
242797,238,-20.00,-19.27,0.5630,847.2
244425,239,-18.00,-19.24,0.5600,853.2
245606,240,-21.00,-19.24,0.5579,857.6
247380,241,-15.00,-19.19,0.5547,864.2
248537,242,-21.00,-19.20,0.5526,868.5
250020,243,-17.00,-19.17,0.5500,874.0
251779,244,-20.00,-19.16,0.5468,880.4
252782,245,-21.00,-19.17,0.5450,884.1
254329,246,-19.00,-19.17,0.5422,890.1
256303,247,-16.00,-19.12,0.5387,897.5
257690,248,-18.00,-19.10,0.5362,902.7
258858,249,-20.00,-19.10,0.5341,907.0
260164,250,-19.00,-19.10,0.5317,911.9
261882,251,-18.00,-19.09,0.5286,918.3
263201,252,-20.00,-19.08,0.5262,923.2
264895,253,-16.00,-19.04,0.5232,929.5
266252,254,-20.00,-19.05,0.5207,934.7
267936,255,-19.00,-19.03,0.5177,941.1
269183,256,-19.00,-19.03,0.5155,945.9
270349,257,-19.00,-19.03,0.5134,950.4
271753,258,-21.00,-19.05,0.5108,955.8
273513,259,-18.00,-19.04,0.5077,962.5
275450,260,-16.00,-19.01,0.5042,969.8
276761,261,-19.00,-19.00,0.5018,974.8
278129,262,-18.00,-18.98,0.4994,980.1
279496,263,-20.00,-18.98,0.4969,985.3
280992,264,-19.00,-18.97,0.4942,991.1
282503,265,-20.00,-18.97,0.4915,996.8
284261,266,-15.00,-18.93,0.4883,1003.5
285926,267,-17.00,-18.90,0.4853,1010.3
287294,268,-18.00,-18.89,0.4829,1015.6
288716,269,-19.00,-18.87,0.4803,1021.0
290048,270,-21.00,-18.92,0.4779,1026.1
291804,271,-15.00,-18.86,0.4748,1032.8
293201,272,-20.00,-18.85,0.4722,1038.2
294474,273,-21.00,-18.86,0.4699,1043.1
296180,274,-19.00,-18.87,0.4669,1049.5
297624,275,-18.00,-18.85,0.4643,1055.1
298920,276,-19.00,-18.84,0.4619,1060.1
300593,277,-16.00,-18.80,0.4589,1066.6
