step,episode,reward,avg_reward_100,epsilon,elapsed_s
167835,184,-21.00,-20.47,0.6979,412.4
168612,185,-21.00,-20.47,0.6965,414.4
169646,186,-19.00,-20.47,0.6946,417.5
170634,187,-19.00,-20.46,0.6929,420.2
171651,188,-20.00,-20.46,0.6910,422.9
172700,189,-21.00,-20.46,0.6891,425.9
173547,190,-21.00,-20.46,0.6876,428.1
174517,191,-20.00,-20.45,0.6859,430.8
175338,192,-21.00,-20.45,0.6844,433.0
176265,193,-20.00,-20.44,0.6827,435.5
177086,194,-21.00,-20.45,0.6812,437.7
178026,195,-21.00,-20.45,0.6796,440.2
178857,196,-20.00,-20.44,0.6781,442.4
179675,197,-21.00,-20.44,0.6766,444.7
180510,198,-20.00,-20.43,0.6751,446.9
181289,199,-21.00,-20.43,0.6737,449.0
182230,200,-21.00,-20.44,0.6720,451.6
183107,201,-21.00,-20.44,0.6704,454.1
184104,202,-20.00,-20.43,0.6686,456.7
184951,203,-21.00,-20.44,0.6671,459.0
186090,204,-20.00,-20.45,0.6650,462.1
186982,205,-20.00,-20.46,0.6634,464.5
187946,206,-20.00,-20.47,0.6617,467.0
188824,207,-21.00,-20.48,0.6601,469.4
189926,208,-20.00,-20.48,0.6581,472.3
190967,209,-20.00,-20.47,0.6563,475.2
191904,210,-19.00,-20.45,0.6546,477.7
193015,211,-19.00,-20.43,0.6526,481.0
193897,212,-21.00,-20.44,0.6510,483.4
194794,213,-21.00,-20.44,0.6494,485.8
195723,214,-20.00,-20.45,0.6477,488.2
196648,215,-20.00,-20.44,0.6460,490.7
197428,216,-21.00,-20.45,0.6446,492.8
198382,217,-19.00,-20.44,0.6429,495.3
199172,218,-21.00,-20.45,0.6415,497.4
200318,219,-19.00,-20.43,0.6394,500.5
201138,220,-21.00,-20.44,0.6380,502.7
201895,221,-21.00,-20.44,0.6366,504.8
202802,222,-21.00,-20.45,0.6350,507.2
203673,223,-21.00,-20.46,0.6334,509.6
204449,224,-21.00,-20.46,0.6320,511.7
205258,225,-21.00,-20.46,0.6305,513.9
206116,226,-20.00,-20.46,0.6290,516.2
207045,227,-21.00,-20.47,0.6273,518.7
207929,228,-20.00,-20.48,0.6257,521.1
208869,229,-20.00,-20.48,0.6240,523.7
209935,230,-19.00,-20.46,0.6221,526.7
210985,231,-20.00,-20.45,0.6202,529.6
211822,232,-21.00,-20.46,0.6187,531.9
212717,233,-20.00,-20.45,0.6171,534.3
213493,234,-21.00,-20.45,0.6157,536.6
214339,235,-21.00,-20.45,0.6142,538.9
215179,236,-20.00,-20.45,0.6127,541.2
216209,237,-19.00,-20.43,0.6108,544.0
216987,238,-21.00,-20.43,0.6094,546.1
217867,239,-21.00,-20.44,0.6078,548.5
218809,240,-20.00,-20.43,0.6061,551.1
219798,241,-20.00,-20.42,0.6044,553.7
220633,242,-21.00,-20.42,0.6029,555.9
221505,243,-21.00,-20.42,0.6013,558.3
222554,244,-21.00,-20.43,0.5994,561.1
223329,245,-21.00,-20.43,0.5980,563.2
224087,246,-21.00,-20.43,0.5966,565.2
224938,247,-21.00,-20.44,0.5951,567.5
225861,248,-20.00,-20.43,0.5935,569.9
226788,249,-21.00,-20.44,0.5918,572.4
227672,250,-20.00,-20.43,0.5902,574.8
228583,251,-20.00,-20.42,0.5886,577.6
229392,252,-21.00,-20.43,0.5871,579.8
230484,253,-20.00,-20.43,0.5851,582.8
231460,254,-20.00,-20.43,0.5834,585.4
232322,255,-20.00,-20.43,0.5818,587.8
233275,256,-20.00,-20.42,0.5801,590.4
234200,257,-20.00,-20.41,0.5784,592.9
235018,258,-21.00,-20.42,0.5770,595.6
236264,259,-20.00,-20.42,0.5747,599.2
237098,260,-20.00,-20.41,0.5732,601.6
238072,261,-21.00,-20.41,0.5715,604.3
239019,262,-19.00,-20.39,0.5698,607.0
239915,263,-20.00,-20.39,0.5682,609.4
240737,264,-21.00,-20.40,0.5667,611.6
241680,265,-21.00,-20.40,0.5650,614.1
242694,266,-21.00,-20.41,0.5632,616.9
243457,267,-21.00,-20.41,0.5618,619.0
244261,268,-21.00,-20.42,0.5603,621.2
245094,269,-20.00,-20.42,0.5588,623.6
245988,270,-21.00,-20.44,0.5572,626.1
246820,271,-20.00,-20.43,0.5557,628.4
247773,272,-21.00,-20.43,0.5540,631.1
248684,273,-21.00,-20.43,0.5524,633.7
249732,274,-20.00,-20.43,0.5505,636.8
250631,275,-21.00,-20.43,0.5489,639.3
251530,276,-20.00,-20.42,0.5472,641.8
252345,277,-21.00,-20.42,0.5458,644.0
253168,278,-21.00,-20.42,0.5443,646.3
253990,279,-21.00,-20.42,0.5428,648.6
255059,280,-19.00,-20.41,0.5409,651.5
255845,281,-21.00,-20.42,0.5395,653.8
256768,282,-20.00,-20.43,0.5378,656.5
257615,283,-21.00,-20.43,0.5363,659.0
258453,284,-21.00,-20.43,0.5348,661.3
259402,285,-20.00,-20.42,0.5331,664.0
260403,286,-21.00,-20.44,0.5313,666.8
261238,287,-20.00,-20.45,0.5298,669.1
262077,288,-20.00,-20.45,0.5283,671.4
263096,289,-20.00,-20.44,0.5264,674.2
263886,290,-21.00,-20.44,0.5250,676.3
264797,291,-21.00,-20.45,0.5234,679.0
265865,292,-20.00,-20.44,0.5214,681.9
266675,293,-21.00,-20.45,0.5200,684.2
267460,294,-21.00,-20.45,0.5186,686.3
268294,295,-20.00,-20.44,0.5171,688.6
269157,296,-21.00,-20.45,0.5155,691.0
270036,297,-21.00,-20.45,0.5139,693.6
271008,298,-21.00,-20.46,0.5122,696.3
271966,299,-20.00,-20.45,0.5105,698.9
272786,300,-21.00,-20.45,0.5090,701.2
273649,301,-20.00,-20.44,0.5074,703.6
274546,302,-20.00,-20.44,0.5058,706.0
275325,303,-21.00,-20.44,0.5044,708.2
276172,304,-21.00,-20.45,0.5029,710.5
277280,305,-17.00,-20.42,0.5009,713.6
278107,306,-21.00,-20.43,0.4994,716.1
279003,307,-21.00,-20.43,0.4978,718.8
279789,308,-21.00,-20.44,0.4964,721.0
280628,309,-20.00,-20.44,0.4949,723.4
281572,310,-21.00,-20.46,0.4932,726.0
282538,311,-20.00,-20.47,0.4914,728.8
283372,312,-20.00,-20.46,0.4899,731.0
284282,313,-21.00,-20.46,0.4883,733.5
285262,314,-20.00,-20.46,0.4865,736.2
286233,315,-20.00,-20.46,0.4848,738.9
287057,316,-21.00,-20.46,0.4833,741.2
287842,317,-21.00,-20.48,0.4819,743.4
288703,318,-20.00,-20.47,0.4803,745.8
289567,319,-21.00,-20.49,0.4788,748.1
290385,320,-21.00,-20.49,0.4773,750.4
291284,321,-21.00,-20.49,0.4757,753.0
292104,322,-21.00,-20.49,0.4742,755.3
292936,323,-20.00,-20.48,0.4727,757.6
293856,324,-20.00,-20.47,0.4711,760.2
294631,325,-21.00,-20.47,0.4697,762.3
295408,326,-21.00,-20.48,0.4683,764.4
296166,327,-21.00,-20.48,0.4669,766.4
297011,328,-21.00,-20.49,0.4654,768.8
297773,329,-21.00,-20.50,0.4640,770.9
298731,330,-20.00,-20.51,0.4623,773.5
299488,331,-21.00,-20.52,0.4609,776.1
300419,332,-19.00,-20.50,0.4592,778.8
301397,333,-19.00,-20.49,0.4575,781.5
302233,334,-20.00,-20.48,0.4560,783.9
303328,335,-18.00,-20.45,0.4540,787.0
304169,336,-20.00,-20.45,0.4525,789.3
305181,337,-18.00,-20.44,0.4507,792.1
305943,338,-21.00,-20.44,0.4493,794.2
306749,339,-21.00,-20.44,0.4479,796.4
307591,340,-21.00,-20.45,0.4463,798.7
308529,341,-19.00,-20.44,0.4446,801.4
309363,342,-20.00,-20.43,0.4431,803.8
310296,343,-21.00,-20.43,0.4415,806.4
311173,344,-20.00,-20.42,0.4399,808.8
312056,345,-21.00,-20.42,0.4383,811.3
312877,346,-21.00,-20.42,0.4368,813.5
313725,347,-21.00,-20.42,0.4353,815.9
314532,348,-21.00,-20.43,0.4338,818.2
315539,349,-20.00,-20.42,0.4320,821.0
316301,350,-21.00,-20.43,0.4307,823.2
317184,351,-20.00,-20.43,0.4291,825.8
318097,352,-20.00,-20.42,0.4274,828.3
318905,353,-21.00,-20.43,0.4260,830.6
319842,354,-20.00,-20.43,0.4243,833.1
320756,355,-20.00,-20.43,0.4226,835.9
321544,356,-21.00,-20.44,0.4212,838.2
322380,357,-20.00,-20.44,0.4197,840.6
323398,358,-20.00,-20.43,0.4179,843.5
324213,359,-21.00,-20.44,0.4164,845.8
325063,360,-21.00,-20.45,0.4149,848.2
325884,361,-21.00,-20.45,0.4134,850.6
326725,362,-21.00,-20.47,0.4119,852.9
327546,363,-21.00,-20.48,0.4104,855.1
328476,364,-20.00,-20.47,0.4087,857.7
329299,365,-21.00,-20.47,0.4073,860.0
330061,366,-21.00,-20.47,0.4059,862.1
330945,367,-21.00,-20.47,0.4043,864.6
331732,368,-21.00,-20.47,0.4029,867.0
332632,369,-21.00,-20.48,0.4013,869.6
333462,370,-20.00,-20.47,0.3998,871.9
334434,371,-21.00,-20.48,0.3980,874.7
335219,372,-21.00,-20.48,0.3966,876.9
336057,373,-21.00,-20.48,0.3951,879.3
336975,374,-20.00,-20.48,0.3934,882.0
337950,375,-20.00,-20.47,0.3917,884.7
338734,376,-21.00,-20.48,0.3903,886.9
339568,377,-20.00,-20.47,0.3888,889.2
340389,378,-21.00,-20.47,0.3873,891.5
341206,379,-21.00,-20.47,0.3858,893.7
342135,380,-19.00,-20.47,0.3842,896.7
342976,381,-21.00,-20.47,0.3826,899.2
343859,382,-21.00,-20.48,0.3811,901.8
344727,383,-21.00,-20.48,0.3795,904.2
345542,384,-21.00,-20.48,0.3780,906.5
346362,385,-21.00,-20.49,0.3765,908.9
347273,386,-21.00,-20.49,0.3749,911.4
348262,387,-20.00,-20.49,0.3731,914.2
349023,388,-21.00,-20.50,0.3718,916.3
349898,389,-21.00,-20.51,0.3702,918.8
350658,390,-21.00,-20.51,0.3688,920.9
351462,391,-21.00,-20.51,0.3674,923.3
352222,392,-21.00,-20.52,0.3660,925.4
353089,393,-21.00,-20.52,0.3644,927.9
354088,394,-21.00,-20.52,0.3626,930.7
354926,395,-20.00,-20.52,0.3611,933.1
355766,396,-20.00,-20.51,0.3596,935.7
356523,397,-21.00,-20.51,0.3583,937.8
357389,398,-20.00,-20.50,0.3567,940.3
358270,399,-20.00,-20.50,0.3551,942.8
359227,400,-20.00,-20.49,0.3534,945.6
359985,401,-21.00,-20.50,0.3520,947.8
360760,402,-21.00,-20.51,0.3506,950.1
361641,403,-21.00,-20.51,0.3490,952.5
362400,404,-21.00,-20.51,0.3477,954.8
363283,405,-21.00,-20.55,0.3461,957.8
364129,406,-21.00,-20.55,0.3446,960.4
365007,407,-21.00,-20.55,0.3430,963.0
365883,408,-21.00,-20.55,0.3414,965.5
366870,409,-21.00,-20.56,0.3396,968.4
367710,410,-20.00,-20.55,0.3381,970.8
368578,411,-20.00,-20.55,0.3366,973.4
369411,412,-20.00,-20.55,0.3351,975.8
370169,413,-21.00,-20.55,0.3337,977.9
371219,414,-18.00,-20.53,0.3318,980.9
372088,415,-20.00,-20.53,0.3302,983.4
372909,416,-21.00,-20.53,0.3288,985.8
373790,417,-21.00,-20.53,0.3272,988.3
374670,418,-21.00,-20.54,0.3256,990.9
375492,419,-21.00,-20.54,0.3241,993.2
376313,420,-21.00,-20.54,0.3226,995.6
377130,421,-21.00,-20.54,0.3212,998.1
377980,422,-21.00,-20.54,0.3196,1000.6
378812,423,-21.00,-20.55,0.3181,1002.9
379600,424,-21.00,-20.56,0.3167,1005.1
380380,425,-21.00,-20.56,0.3153,1007.3
381199,426,-21.00,-20.56,0.3138,1009.7
382019,427,-21.00,-20.56,0.3124,1012.0
382940,428,-20.00,-20.55,0.3107,1014.9
383860,429,-20.00,-20.54,0.3091,1017.8
384649,430,-21.00,-20.55,0.3076,1020.1
385472,431,-21.00,-20.55,0.3062,1022.5
386336,432,-20.00,-20.56,0.3046,1025.0
387159,433,-21.00,-20.58,0.3031,1027.4
387995,434,-20.00,-20.58,0.3016,1029.8
388814,435,-21.00,-20.61,0.3001,1032.1
389635,436,-21.00,-20.62,0.2987,1034.5
390578,437,-21.00,-20.65,0.2970,1037.1
391526,438,-20.00,-20.64,0.2953,1039.8
392312,439,-21.00,-20.64,0.2938,1042.1
393133,440,-21.00,-20.64,0.2924,1044.5
394013,441,-21.00,-20.66,0.2908,1047.1
395087,442,-20.00,-20.66,0.2888,1050.1
396018,443,-20.00,-20.65,0.2872,1052.8
396857,444,-20.00,-20.65,0.2857,1055.2
397695,445,-20.00,-20.64,0.2841,1057.6
398543,446,-21.00,-20.64,0.2826,1060.0
399450,447,-21.00,-20.64,0.2810,1062.7
400284,448,-20.00,-20.63,0.2795,1065.1
401210,449,-19.00,-20.62,0.2778,1067.7
401999,450,-21.00,-20.62,0.2764,1069.9
402788,451,-21.00,-20.63,0.2750,1072.2
403656,452,-21.00,-20.64,0.2734,1075.1
404477,453,-21.00,-20.64,0.2719,1077.5
405294,454,-21.00,-20.65,0.2705,1080.0
406078,455,-21.00,-20.66,0.2691,1082.3
406897,456,-21.00,-20.66,0.2676,1084.7
407688,457,-21.00,-20.67,0.2662,1086.9
408463,458,-21.00,-20.68,0.2648,1089.2
409464,459,-20.00,-20.67,0.2630,1092.1
410394,460,-19.00,-20.65,0.2613,1094.7
411262,461,-20.00,-20.64,0.2597,1097.2
412024,462,-21.00,-20.64,0.2584,1099.4
412811,463,-21.00,-20.64,0.2569,1101.7
413737,464,-20.00,-20.64,0.2553,1104.3
414522,465,-21.00,-20.64,0.2539,1106.6
415358,466,-20.00,-20.63,0.2524,1109.0
416269,467,-21.00,-20.63,0.2507,1111.7
417045,468,-21.00,-20.63,0.2493,1113.9
417928,469,-21.00,-20.63,0.2477,1116.5
418829,470,-20.00,-20.63,0.2461,1119.0
419709,471,-21.00,-20.63,0.2445,1121.7
420524,472,-21.00,-20.63,0.2431,1124.0
421483,473,-20.00,-20.62,0.2413,1126.8
422332,474,-21.00,-20.63,0.2398,1129.3
423093,475,-21.00,-20.64,0.2384,1131.5
424006,476,-21.00,-20.64,0.2368,1134.3
424797,477,-21.00,-20.65,0.2354,1136.8
425682,478,-20.00,-20.64,0.2338,1139.4
426523,479,-20.00,-20.63,0.2323,1141.9
