step,episode,reward,avg_reward_100,epsilon,elapsed_s
384486,311,-8.00,-16.63,0.3079,2087.3
386595,312,-15.00,-16.58,0.3041,2099.4
388546,313,-15.00,-16.56,0.3006,2111.4
390535,314,-11.00,-16.49,0.2970,2122.2
392622,315,-12.00,-16.46,0.2933,2133.5
394611,316,-14.00,-16.40,0.2897,2144.8
396500,317,-13.00,-16.36,0.2863,2155.5
399464,318,-9.00,-16.27,0.2810,2173.0
401434,319,-15.00,-16.27,0.2774,2183.6
403262,320,-16.00,-16.30,0.2741,2193.4
405813,321,-14.00,-16.25,0.2695,2207.1
407899,322,-14.00,-16.19,0.2658,2218.1
409719,323,-16.00,-16.15,0.2625,2228.2
411976,324,-13.00,-16.09,0.2584,2240.5
414160,325,-14.00,-16.04,0.2545,2251.6
416426,326,-13.00,-16.01,0.2504,2265.4
418667,327,-11.00,-15.97,0.2464,2278.8
421364,328,-13.00,-15.93,0.2415,2295.3
424223,329,-7.00,-15.81,0.2364,2312.6
426403,330,-12.00,-15.75,0.2325,2326.2
428887,331,-11.00,-15.71,0.2280,2341.3
431755,332,-6.00,-15.58,0.2228,2358.8
434208,333,-10.00,-15.50,0.2184,2373.3
436565,334,-11.00,-15.43,0.2142,2387.7
439394,335,-13.00,-15.37,0.2091,2404.9
441719,336,-12.00,-15.34,0.2049,2418.8
443620,337,-15.00,-15.35,0.2015,2430.5
447134,338,-3.00,-15.21,0.1952,2451.7
449504,339,-11.00,-15.15,0.1909,2465.9
452158,340,-6.00,-15.04,0.1861,2482.7
454564,341,-11.00,-14.98,0.1818,2497.7
458204,342,-5.00,-14.88,0.1752,2520.6
460602,343,-10.00,-14.87,0.1709,2535.4
463857,344,-11.00,-14.77,0.1651,2555.9
467789,345,-3.00,-14.62,0.1580,2579.6
471006,346,-5.00,-14.46,0.1522,2599.1
474444,347,-6.00,-14.36,0.1460,2620.8
478717,348,-1.00,-14.19,0.1383,2647.4
482232,349,4.00,-13.99,0.1320,2669.9
487143,350,-4.00,-13.86,0.1231,2700.9
490468,351,8.00,-13.58,0.1172,2722.1
493477,352,7.00,-13.31,0.1117,2740.8
496776,353,4.00,-13.12,0.1058,2760.8
500159,354,5.00,-12.91,0.1000,2782.7
503556,355,4.00,-12.68,0.1000,2804.3
506949,356,6.00,-12.43,0.1000,2825.8
510091,357,-2.00,-12.27,0.1000,2845.8
513563,358,6.00,-12.02,0.1000,2867.8
516812,359,3.00,-11.82,0.1000,2888.3
519908,360,10.00,-11.54,0.1000,2908.3
523355,361,9.00,-11.28,0.1000,2930.1
526786,362,5.00,-11.04,0.1000,2951.7
529867,363,7.00,-10.78,0.1000,2971.1
533261,364,5.00,-10.54,0.1000,2992.7
536792,365,3.00,-10.36,0.1000,3014.9
540268,366,-3.00,-10.25,0.1000,3036.8
543801,367,3.00,-10.04,0.1000,3058.3
546608,368,9.00,-9.77,0.1000,3075.9
549367,369,11.00,-9.55,0.1000,3093.3
552463,370,5.00,-9.34,0.1000,3112.7
556108,371,7.00,-9.09,0.1000,3135.9
559496,372,2.00,-8.87,0.1000,3157.2
562833,373,6.00,-8.62,0.1000,3177.8
565087,374,17.00,-8.26,0.1000,3191.8
567635,375,14.00,-8.02,0.1000,3207.6
570589,376,9.00,-7.74,0.1000,3226.1
573740,377,8.00,-7.51,0.1000,3245.6
576684,378,10.00,-7.21,0.1000,3264.3
579324,379,12.00,-6.92,0.1000,3280.7
581886,380,13.00,-6.64,0.1000,3296.4
584911,381,10.00,-6.36,0.1000,3315.1
587522,382,11.00,-6.07,0.1000,3331.3
589735,383,16.00,-5.75,0.1000,3345.2
592225,384,10.00,-5.49,0.1000,3360.4
594881,385,11.00,-5.22,0.1000,3377.5
597925,386,7.00,-5.00,0.1000,3396.5
601405,387,1.00,-4.83,0.1000,3417.4
604235,388,8.00,-4.60,0.1000,3433.9
607478,389,4.00,-4.41,0.1000,3454.0
610390,390,-6.00,-4.30,0.1000,3471.7
613508,391,7.00,-4.05,0.1000,3489.9
616448,392,10.00,-3.79,0.1000,3507.4
619247,393,12.00,-3.51,0.1000,3524.4
622378,394,10.00,-3.28,0.1000,3543.5
625180,395,8.00,-3.04,0.1000,3559.8
627691,396,14.00,-2.77,0.1000,3574.2
630620,397,8.00,-2.52,0.1000,3591.2
633008,398,15.00,-2.20,0.1000,3605.8
635279,399,14.00,-1.93,0.1000,3619.9
637348,400,18.00,-1.62,0.1000,3632.7
639846,401,13.00,-1.33,0.1000,3647.7
641972,402,14.00,-1.04,0.1000,3660.6
644180,403,16.00,-0.75,0.1000,3674.7
646726,404,12.00,-0.50,0.1000,3690.7
648594,405,18.00,-0.16,0.1000,3702.1
651208,406,8.00,0.08,0.1000,3718.5
653680,407,10.00,0.32,0.1000,3733.9
656127,408,13.00,0.57,0.1000,3748.9
658414,409,16.00,0.89,0.1000,3762.8
661215,410,12.00,1.18,0.1000,3779.8
663322,411,16.00,1.42,0.1000,3792.9
665857,412,10.00,1.67,0.1000,3808.8
668420,413,16.00,1.98,0.1000,3824.7
670783,414,17.00,2.26,0.1000,3839.1
673354,415,18.00,2.56,0.1000,3854.9
675572,416,15.00,2.85,0.1000,3868.9
677589,417,18.00,3.16,0.1000,3881.3
680106,418,12.00,3.37,0.1000,3896.9
682484,419,13.00,3.65,0.1000,3911.8
684569,420,16.00,3.97,0.1000,3924.6
686908,421,15.00,4.26,0.1000,3939.2
689390,422,12.00,4.52,0.1000,3954.6
691543,423,15.00,4.83,0.1000,3967.9
